;IOLM/Port 1/Attached Device/PDI Data Byte Array;IOLM/Port 2/Attached Device/PDI Data Byte Array;4;5;6;7;8;9
;PDI Data Byte Array;PDI Data Byte Array;1.1. Velocidade;1.2. Aceleração;1.3. Temperatura;2.1. Velocidade;2.2. Aceleração;2.3. Temperatura
;Byte[];Byte[];Double;Double;Double;Double;Double;Double
2026-05-19T11:46:10.921;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.04;0;34
2026-05-19T11:46:11.290;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.04;0;34
2026-05-19T11:46:14.920;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 3, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.04;0;34
2026-05-19T11:46:15.296;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 3, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.03;0;34
2026-05-19T11:46:21.919;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.03;0;34
2026-05-19T11:46:22.305;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.04;0;34
2026-05-19T11:46:28.919;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 3, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.04;0;34
2026-05-19T11:46:29.317;0, 4, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 27, 1, 0;0, 3, 100, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 34, 1, 0;0.04;0;27;0.03;0;34
